ï»¿Contact_Name,Contact_Email,Contact_Affiliation,Metadata_Provider_Name,Location_ID,Location_Name,Location_Alias,Location_Activity,Location_Category,Measurement_Categories,Years_Data_Collected,Research_Theme,Description,Geographic_Region,Parent_Location_ID,Latitude,Longitude,Lat_Long_Measurement_Method,Topographical_Elevation,Topo_Elev_Measurement_Method,Depth_Profile_Elevations,Instrumentation,Variables_Measured,Related_Reference,Location_Metadata_Version
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-PHF0,Pumphouse ISCO,"PH, Pumphouse",Stream Gage with Water Quality Measurements,SFA Intensive,Hydrogeology,2014-Present (as of Dec 2020),Surface discharge and solute flux,"Data used to quantify integrated watershed processes.Â Discharge calculations based on a rating cuve approach. Two ISCOs serve the site. One to collect anions, cations, trace metals, DIC and NOPC. The second collects samples for stable isotopes with each bottle filled with approx. 2 cm oil to minimize evaproation between sample retrival.Â Â ISCOs collect from the stream during ice-free days (April through October) and sample from winter storage (WS) November through March.",PH,ERC,38.922447,-106.950828,Trimble GPS,2759.57,LIDAR,N/A,"ISCO Stream Sampler, Discharge transducer",Lithium (Li); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Strontium (Sr); Molybdenum (Mo); Barium (Ba); Uranium (U); Arsenic (As); Total Phosphorous (P); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Dissolved Inorganic C (DIC); Beryllium (Be); Total Chromium (Cr); Titanium (Ti); Germanium (Ge); Rubidium (Rb); Zirconium (Zr); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Europium (Eu); Lead (Pb); Thorium (Th); Non-Purgable Organic Carbon (NPOC); Dissolved Total Nitrogen (DTN),N/A,1.0
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-PHF1,Pumphouse YSI,YSI,Stream Gage with Water Quality Measurements,SFA Intensive,Hydrogeology; Biogeochemistry,2015-Present (as of Dec 2020),Stream water quality parameters,"Multi-parameter probe installed within the East River water column adjacent to the ER-PHF0 discharge transducer measuring the following water quality paramters at 5-minute intervals: pH, oxidation reduction potential (ORP), temperature, fluid conductivity, water column height, dissolved oxygen, fluorescent dissolved organic matter (fDOM), turbidity.",PH,ERC,38.922353,-106.951405,Trimble GPS,2759.54,LIDAR,N/A,YSI Sonde,Water Temperature; Electrical Conductivity (EC); pH; Redox Potential (ORP); Water Level; Total Dissolved Solids (TDS); Dissolved Oxygen (DO); Colored Dissolved Organic Matter (FDOM); Turbidity,N/A,1.0
Ken Williams,khwilliams@lbl.gov,LBNL,Ken Williams,SG-SUF1,Snodgrass Upper Flume,Upper Flume,Stream Gage with Water Quality Measurements,SFA Intensive,Hydrogeology; Biogeochemistry,2020-Present,Surface discharge and solute flux,Data used to quantify seasonal and interannual hydrologic response and mass flux of solutes at the sub-catchment scale. Discharge data determined through direct measurement via stream flume,SG,SG,38.922515,-106.977207,Trimble GPS,3070.06,LIDAR,N/A,Stream flume,Lithium (Li); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Strontium (Sr); Molybdenum (Mo); Barium (Ba); Uranium (U); Arsenic (As); Total Phosphorous (P); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Dissolved Inorganic C (DIC); Beryllium (Be); Total Chromium (Cr); Titanium (Ti); Germanium (Ge); Rubidium (Rb); Zirconium (Zr); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Europium (Eu); Lead (Pb); Thorium (Th); Non-Purgable Organic Carbon (NPOC); Dissolved Total Nitrogen (DTN),N/A,2.0
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-AVY1,Avery Creek,Avery,Stream Gage with Water Quality Measurements,SFA Satellite Site,Hydrogeology; Biogeochemistry,2014-2018,Surface discharge and solute flux,Data used to quantify seasonal and interannual hydrologic response and mass flux of solutes at the sub-catchment scale. Rating curved approach applied to pressure transducer data.,ERC,ERC,38.975217,-106.997328,Trimble GPS,2923.93,LIDAR,N/A,"Stream sampling location, Discharge transducer",Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Phosphate (PO4); Lithium (Li); Beryllium (Be); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Chromium (Cr); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Titanium (Ti); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Germanium (Ge); Arsenic (As); Rubidium (Rb); Strontium (Sr); Zirconium (Zr); Molybdenum (Mo); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Barium (Ba); Europium (Eu); Lead (Pb); Thorium (Th); Uranium (U); Total Phosphorous (P); Dissolved Total Nitrogen (DTN),N/A,1.0
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-BCC0,Brush Creek Confluence ISCO,BCC,Stream Gage with Water Quality Measurements,SFA Satellite Site,Hydrogeology; Biogeochemistry,2015,Surface water solute flux,"Data used to quantify seasonal and interannual hydrologic response and mass flux of solutes at the sub-catchment scale. The ISCO was deployed during ice-free conditions in 2015. Data window: April 3, 2015 to October 24, 2015.",ERC,ERC,38.886599,-106.909461,Trimble GPS,2722.2,LIDAR,N/A,ISCO Stream Sampler,Lithium (Li); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Manganese (Mn); Total Iron (Fe); Calcium (Ca); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Arsenic (As); Strontium (Sr); Molybdenum (Mo); Barium (Ba); Uranium (U); Total Phosphorous (P); Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Phosphate (PO4),N/A,1.0
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-BRD1,Bradley Creek,Bradley,Stream Gage with Water Quality Measurements,SFA Satellite Site,Hydrogeology; Biogeochemistry,2014-Present (as of Dec 2020),Surface discharge and solute flux,Data used to quantify seasonal and interannual hydrologic response and mass flux of solutes at the sub-catchment scale. Rating curved approach applied to pressure transducer data.,ERC,ERC,38.985409,-107.004845,Trimble GPS,2939.9,LIDAR,N/A,"Stream sampling location, Discharge transducer",Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Phosphate (PO4); Lithium (Li); Beryllium (Be); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Chromium (Cr); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Titanium (Ti); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Germanium (Ge); Arsenic (As); Rubidium (Rb); Strontium (Sr); Zirconium (Zr); Molybdenum (Mo); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Barium (Ba); Europium (Eu); Lead (Pb); Thorium (Th); Uranium (U); Total Phosphorous (P); Dissolved Total Nitrogen (DTN),N/A,1.0
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-BTH1,Benthette Brook,Benthette,Stream Gage with Water Quality Measurements,SFA Satellite Site,Hydrogeology; Biogeochemistry,2014-2016,Surface discharge and solute flux,"Data used to quantify seasonal and interannual hydrologic response and mass flux of solutes at the sub-catchment scale. Rating curved approach applied to pressure transducer data. Data window: July 30, 2014 to October 19, 2016.",ERC,ERC,38.960826,-106.992315,Trimble GPS,2900.65,LIDAR,N/A,"Stream sampling location, Discharge transducer",Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Phosphate (PO4); Lithium (Li); Beryllium (Be); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Chromium (Cr); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Titanium (Ti); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Germanium (Ge); Arsenic (As); Rubidium (Rb); Strontium (Sr); Zirconium (Zr); Molybdenum (Mo); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Barium (Ba); Europium (Eu); Lead (Pb); Thorium (Th); Uranium (U); Total Phosphorous (P); Dissolved Total Nitrogen (DTN),N/A,1.0
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,Coal-11,Coal-11,"ER-CL11, Coal11, CCWC-Coal-11",Stream Gage with Water Quality Measurements,SFA Satellite Site,Hydrogeology; Biogeochemistry,2015-Present (as of Dec 2020),Surface discharge and solute flux,Long-term monitoring site for the Coal Creek Watershed Coalition. Data used to quantify seasonal and interannual hydrologic response and mass flux of solutes at the sub-catchment scale.,CC,CC,38.863696,-107.033615,Trimble GPS,2838.72,USGS DEM,N/A,ISCO Stream Sampler during ice free conditions; direct sampling from stream water at other times,Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Phosphate (PO4); Lithium (Li); Beryllium (Be); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Chromium (Cr); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Titanium (Ti); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Germanium (Ge); Arsenic (As); Rubidium (Rb); Strontium (Sr); Zirconium (Zr); Molybdenum (Mo); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Barium (Ba); Europium (Eu); Lead (Pb); Thorium (Th); Uranium (U); Total Phosphorous (P),N/A,2.0
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-CPR1,Copper Creek,Copper,Stream Gage with Water Quality Measurements,SFA Satellite Site,Hydrogeology; Biogeochemistry,2014-Present (as of Dec 2020),Surface discharge and solute flux,Data used to quantify seasonal and interannual hydrologic response and mass flux of solutes at the sub-catchment scale. Rating curved approach applied to pressure transducer data.,ERC,ERC,38.957059,-106.988286,Trimble GPS,2884.74,LIDAR,N/A,"Stream sampling location, Discharge transducer",Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Phosphate (PO4); Lithium (Li); Beryllium (Be); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Chromium (Cr); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Titanium (Ti); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Germanium (Ge); Arsenic (As); Rubidium (Rb); Strontium (Sr); Zirconium (Zr); Molybdenum (Mo); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Barium (Ba); Europium (Eu); Lead (Pb); Thorium (Th); Uranium (U); Total Phosphorous (P); Dissolved Total Nitrogen (DTN),N/A,1.0
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-EAQ1,East River above Quigley Creek,EAQ,Stream Gage with Water Quality Measurements,SFA Satellite Site,Hydrogeology; Biogeochemistry,2014-Present (as of Dec 2020),SurfaceÂ discharge and solute flux,Data usedÂ to quantify seasonal and interannual hydrologic responseÂ and mass flux of solutesÂ at the sub-catchment scale.Â  Rating curved approach applied to pressure transducer data.,ERC,ERC,38.995186,-107.014551,Trimble GPS,2983.96,LIDAR,N/A,"Stream sampling location, Discharge transducer",Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Phosphate (PO4); Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Dissolved Total Nitrogen (DTN); Lithium (Li); Beryllium (Be); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Chromium (Cr); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Titanium (Ti); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Germanium (Ge); Arsenic (As); Rubidium (Rb); Strontium (Sr); Zirconium (Zr); Molybdenum (Mo); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Barium (Ba); Europium (Eu); Lead (Pb); Thorium (Th); Uranium (U); Total Phosphorous (P),N/A,1.0
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-EBC0,East River below Copper Creek ISCO,EBC,Stream Gage with Water Quality Measurements,SFA Satellite Site,Hydrogeology; Biogeochemistry,2015-2016,Surface discharge and solute flux,"Data used to quantify seasonal and interannual hydrologic response and mass flux of solutes at the sub-catchment scale. The ISCO is deployed during ice-free conditions in 2015 and 2016. Data windows: April 5 to September 20, 2015; May 28 to September 27, 2016.",ERC,ERC,38.952425,-106.989486,Trimble GPS,2864.92,LIDAR,N/A,ISCO Stream Sampler,Lithium (Li); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Manganese (Mn); Total Iron (Fe); Calcium (Ca); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Arsenic (As); Strontium (Sr); Molybdenum (Mo); Barium (Ba); Uranium (U); Total Phosphorous (P); Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC),N/A,1.0
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-EBC1,East River below Copper Creek,EBC,Stream Gage with Water Quality Measurements,SFA Satellite Site,Hydrogeology; Biogeochemistry,2014-Present (as of Dec 2020),Surface discharge and solute flux,Data used to quantify seasonal and interannual hydrologic response and mass flux of solutes at the sub-catchment scale. Rating curved approach applied to pressure transducer data.,ERC,ERC,38.952425,-106.989486,Trimble GPS,2864.92,LIDAR,N/A,"Stream sampling location, Discharge transducer",Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Phosphate (PO4); Lithium (Li); Beryllium (Be); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Chromium (Cr); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Titanium (Ti); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Germanium (Ge); Arsenic (As); Rubidium (Rb); Strontium (Sr); Zirconium (Zr); Molybdenum (Mo); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Barium (Ba); Europium (Eu); Lead (Pb); Thorium (Th); Uranium (U); Total Phosphorous (P); Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Dissolved Total Nitrogen (DTN),N/A,1.0
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-YUL0,Yule ISCO,Yule,Stream Gage with Water Quality Measurements,SFA Satellite Site,Hydrogeology; Biogeochemistry,2014,Surface water solute flux,"Data used to quantify seasonal and interannual hydrologic response and mass flux of solutes at the sub-catchment scale. The ISCO was deployed during ice-free conditions in 2014. Data window: May 9, 2014 to October 26, 2014.",ERC,ERC,38.957694,-106.990834,Trimble GPS,2882.7,LIDAR,N/A,ISCO Stream Sampler,Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Phosphate (PO4); Dissolved Total Nitrogen (DTN); Lithium (Li); Beryllium (Be); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Chromium (Cr); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Titanium (Ti); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Germanium (Ge); Arsenic (As); Rubidium (Rb); Strontium (Sr); Zirconium (Zr); Molybdenum (Mo); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Barium (Ba); Europium (Eu); Lead (Pb); Thorium (Th); Uranium (U); Total Phosphorous (P),N/A,1.0
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-GTH1,Gothic Creek,Gothic,Stream Gage with Water Quality Measurements,SFA Satellite Site,Hydrogeology; Biogeochemistry,2014-2018,Surface discharge and solute flux,Data used to quantify seasonal and interannual hydrologic response and mass flux of solutes at the sub-catchment scale. Rating curved approach applied to pressure transducer data.,ERC,GT,38.978452,-107.004558,Trimble GPS,2935.22,LIDAR,N/A,"Stream sampling location, Discharge transducer",Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Phosphate (PO4); Lithium (Li); Beryllium (Be); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Chromium (Cr); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Titanium (Ti); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Germanium (Ge); Arsenic (As); Rubidium (Rb); Strontium (Sr); Zirconium (Zr); Molybdenum (Mo); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Barium (Ba); Europium (Eu); Lead (Pb); Thorium (Th); Uranium (U); Total Phosphorous (P),N/A,1.0
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-MMT1,Marmot Creek,Marmot,Stream Gage with Water Quality Measurements,SFA Satellite Site,Hydrogeology; Biogeochemistry,2014-2018,Surface discharge and solute flux,Data used to quantify seasonal and interannual hydrologic response and mass flux of solutes at the sub-catchment scale. Rating curved approach applied to pressure transducer data.,ERC,ERC,38.979310,-106.997824,Trimble GPS,2969.49,LIDAR,N/A,"Stream sampling location, Discharge transducer",Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Phosphate (PO4); Lithium (Li); Beryllium (Be); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Chromium (Cr); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Titanium (Ti); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Germanium (Ge); Arsenic (As); Rubidium (Rb); Strontium (Sr); Zirconium (Zr); Molybdenum (Mo); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Barium (Ba); Europium (Eu); Lead (Pb); Thorium (Th); Uranium (U); Total Phosphorous (P); Dissolved Total Nitrogen (DTN),N/A,1.0
Ken Williams,khwilliams@lbl.gov,LBNL,Roelof Versteeg,ER-QLY1,Quigley Creek,Quigley,Stream Gage with Water Quality Measurements,SFA Satellite Site,Hydrogeology; Biogeochemistry,2014-2018,Surface discharge and solute flux,Data used to quantify seasonal and interannual hydrologic response and mass flux of solutes at the sub-catchment scale. Rating curved approach applied to pressure transducer data.,ERC,ERC,38.993427,-107.014195,Trimble GPS,2981.63,LIDAR,N/A,"Stream sampling location, Discharge transducer",Dissolved Inorganic C (DIC); Non-Purgable Organic Carbon (NPOC); Water - Deuterium (dD); Water - d18O; Chloride (Cl); Sulfate (SO4); Nitrate (NO3); Phosphate (PO4); Dissolved Total Nitrogen (DTN); Lithium (Li); Beryllium (Be); Boron (B); Sodium (Na); Magnesium (Mg); Aluminum (Al); Silicon (Si); Potassium (K); Vanadium (V); Total Chromium (Cr); Total Manganese (Mn); Calcium (Ca); Total Iron (Fe); Titanium (Ti); Nickel (Ni); Cobalt (Co); Copper (Cu); Zinc (Zn); Germanium (Ge); Arsenic (As); Rubidium (Rb); Strontium (Sr); Zirconium (Zr); Molybdenum (Mo); Silver (Ag); Cadmium (Cd); Tin (Sn); Antimony (Sb); Cesium (Cs); Barium (Ba); Europium (Eu); Lead (Pb); Thorium (Th); Uranium (U); Total Phosphorous (P),N/A,1.0
